Date;Product;Delivery Period;Price (EUR/MWh);Volume (MW)
2026-03-12;QH 65;16:00 - 16:15;67.62;0.0
2026-03-12;QH 66;16:15 - 16:30;93.35;0.0
2026-03-12;QH 67;16:30 - 16:45;109.01;0.0
2026-03-12;QH 68;16:45 - 17:00;164.33;0.0
2026-03-12;QH 69;17:00 - 17:15;120.33;0.0
2026-03-12;QH 70;17:15 - 17:30;117.67;0.0
2026-03-12;QH 71;17:30 - 17:45;110.97;0.0
2026-03-12;QH 72;17:45 - 18:00;110.49;0.0
2026-03-12;QH 73;18:00 - 18:15;119.65;0.0
2026-03-12;QH 74;18:15 - 18:30;110.62;0.0
2026-03-12;QH 75;18:30 - 18:45;99.81;0.0
2026-03-12;QH 76;18:45 - 19:00;93.91;0.0
2026-03-12;QH 77;19:00 - 19:15;97.66;0.0
2026-03-12;QH 78;19:15 - 19:30;86.91;0.0
2026-03-12;QH 79;19:30 - 19:45;81.83;0.0
2026-03-12;QH 80;19:45 - 20:00;79.88;0.0
2026-03-12;QH 81;20:00 - 20:15;78.54;0.0
2026-03-12;QH 82;20:15 - 20:30;79.31;0.0
2026-03-12;QH 83;20:30 - 20:45;68.28;0.0
2026-03-12;QH 84;20:45 - 21:00;53.03;0.0
2026-03-12;QH 85;21:00 - 21:15;83.08;0.0
2026-03-12;QH 86;21:15 - 21:30;67.31;0.0
2026-03-12;QH 87;21:30 - 21:45;59.97;0.0
2026-03-12;QH 88;21:45 - 22:00;39.86;0.0
2026-03-12;QH 89;22:00 - 22:15;24.2;0.0
2026-03-12;QH 90;22:15 - 22:30;19.88;0.0
2026-03-12;QH 91;22:30 - 22:45;17.43;0.0
2026-03-12;QH 92;22:45 - 23:00;10.1;0.0
2026-03-12;QH 93;23:00 - 23:15;9.43;0.0
2026-03-12;QH 94;23:15 - 23:30;8.87;0.0
2026-03-12;QH 95;23:30 - 23:45;4.28;0.0
2026-03-12;QH 96;23:45 - 00:00;2.58;0.0
2026-03-13;QH 1;00:00 - 00:15;6.7;0.0
2026-03-13;QH 2;00:15 - 00:30;3.58;0.0
2026-03-13;QH 3;00:30 - 00:45;2.55;0.0
2026-03-13;QH 4;00:45 - 01:00;3.58;0.0
2026-03-13;QH 5;01:00 - 01:15;4.67;0.0
2026-03-13;QH 6;01:15 - 01:30;2.4;0.0
2026-03-13;QH 7;01:30 - 01:45;2.32;0.0
2026-03-13;QH 8;01:45 - 02:00;2.16;0.0
2026-03-13;QH 9;02:00 - 02:15;2.33;0.0
2026-03-13;QH 10;02:15 - 02:30;1.62;0.0
2026-03-13;QH 11;02:30 - 02:45;0.54;0.0
2026-03-13;QH 12;02:45 - 03:00;0.1;0.0
2026-03-13;QH 13;03:00 - 03:15;1.59;0.0
2026-03-13;QH 14;03:15 - 03:30;1.0;0.0
2026-03-13;QH 15;03:30 - 03:45;1.6;0.0
2026-03-13;QH 16;03:45 - 04:00;1.65;0.0
2026-03-13;QH 17;04:00 - 04:15;1.61;0.0
2026-03-13;QH 18;04:15 - 04:30;1.63;0.0
2026-03-13;QH 19;04:30 - 04:45;4.09;0.0
2026-03-13;QH 20;04:45 - 05:00;4.3;0.0
2026-03-13;QH 21;05:00 - 05:15;4.28;0.0
2026-03-13;QH 22;05:15 - 05:30;9.46;0.0
2026-03-13;QH 23;05:30 - 05:45;10.03;0.0
2026-03-13;QH 24;05:45 - 06:00;10.07;0.0
2026-03-13;QH 25;06:00 - 06:15;21.61;0.0
2026-03-13;QH 26;06:15 - 06:30;24.24;0.0
2026-03-13;QH 27;06:30 - 06:45;21.49;0.0
2026-03-13;QH 28;06:45 - 07:00;12.41;0.0
2026-03-13;QH 29;07:00 - 07:15;17.16;0.0
2026-03-13;QH 30;07:15 - 07:30;4.99;0.0
2026-03-13;QH 31;07:30 - 07:45;3.51;0.0
2026-03-13;QH 32;07:45 - 08:00;0.0;0.0
2026-03-13;QH 33;08:00 - 08:15;0.1;0.0
2026-03-13;QH 34;08:15 - 08:30;-0.01;0.0
2026-03-13;QH 35;08:30 - 08:45;-0.04;0.0
2026-03-13;QH 36;08:45 - 09:00;-1.01;0.0
2026-03-13;QH 37;09:00 - 09:15;-2.0;0.0
2026-03-13;QH 38;09:15 - 09:30;-4.58;0.0
2026-03-13;QH 39;09:30 - 09:45;-5.13;0.0
2026-03-13;QH 40;09:45 - 10:00;-8.28;0.0
2026-03-13;QH 41;10:00 - 10:15;-8.13;0.0
2026-03-13;QH 42;10:15 - 10:30;-8.19;0.0
2026-03-13;QH 43;10:30 - 10:45;-9.91;0.0
2026-03-13;QH 44;10:45 - 11:00;-9.77;0.0
2026-03-13;QH 45;11:00 - 11:15;-9.92;0.0
2026-03-13;QH 46;11:15 - 11:30;-9.37;0.0
2026-03-13;QH 47;11:30 - 11:45;-7.32;0.0
2026-03-13;QH 48;11:45 - 12:00;-6.78;0.0
2026-03-13;QH 49;12:00 - 12:15;-4.61;0.0
2026-03-13;QH 50;12:15 - 12:30;-2.72;0.0
2026-03-13;QH 51;12:30 - 12:45;-1.88;0.0
2026-03-13;QH 52;12:45 - 13:00;-1.0;0.0
2026-03-13;QH 53;13:00 - 13:15;-0.92;0.0
2026-03-13;QH 54;13:15 - 13:30;-0.01;0.0
2026-03-13;QH 55;13:30 - 13:45;0.01;0.0
2026-03-13;QH 56;13:45 - 14:00;5.61;0.0
2026-03-13;QH 57;14:00 - 14:15;4.5;0.0
2026-03-13;QH 58;14:15 - 14:30;13.38;0.0
2026-03-13;QH 59;14:30 - 14:45;53.6;0.0
2026-03-13;QH 60;14:45 - 15:00;116.8;0.0
2026-03-13;QH 61;15:00 - 15:15;41.59;0.0
2026-03-13;QH 62;15:15 - 15:30;85.68;0.0
2026-03-13;QH 63;15:30 - 15:45;127.6;0.0
2026-03-13;QH 64;15:45 - 16:00;150.37;0.0
2026-03-13;QH 65;16:00 - 16:15;115.04;0.0
2026-03-13;QH 66;16:15 - 16:30;131.01;0.0
2026-03-13;QH 67;16:30 - 16:45;151.01;0.0
2026-03-13;QH 68;16:45 - 17:00;170.66;0.0
2026-03-13;QH 69;17:00 - 17:15;136.42;0.0
2026-03-13;QH 70;17:15 - 17:30;155.37;0.0
2026-03-13;QH 71;17:30 - 17:45;169.18;0.0
2026-03-13;QH 72;17:45 - 18:00;185.0;0.0
2026-03-13;QH 73;18:00 - 18:15;175.66;0.0
2026-03-13;QH 74;18:15 - 18:30;172.98;0.0
2026-03-13;QH 75;18:30 - 18:45;165.34;0.0
2026-03-13;QH 76;18:45 - 19:00;149.0;0.0
2026-03-13;QH 77;19:00 - 19:15;164.09;0.0
2026-03-13;QH 78;19:15 - 19:30;151.0;0.0
2026-03-13;QH 79;19:30 - 19:45;138.37;0.0
2026-03-13;QH 80;19:45 - 20:00;129.43;0.0
2026-03-13;QH 81;20:00 - 20:15;145.64;0.0
2026-03-13;QH 82;20:15 - 20:30;135.4;0.0
2026-03-13;QH 83;20:30 - 20:45;124.2;0.0
2026-03-13;QH 84;20:45 - 21:00;116.1;0.0
2026-03-13;QH 85;21:00 - 21:15;131.67;0.0
2026-03-13;QH 86;21:15 - 21:30;120.67;0.0
2026-03-13;QH 87;21:30 - 21:45;124.5;0.0
2026-03-13;QH 88;21:45 - 22:00;116.85;0.0
2026-03-13;QH 89;22:00 - 22:15;133.69;0.0
2026-03-13;QH 90;22:15 - 22:30;113.09;0.0
2026-03-13;QH 91;22:30 - 22:45;113.1;0.0
2026-03-13;QH 92;22:45 - 23:00;103.35;0.0
2026-03-13;QH 93;23:00 - 23:15;123.83;0.0
2026-03-13;QH 94;23:15 - 23:30;120.22;0.0
2026-03-13;QH 95;23:30 - 23:45;105.47;0.0
2026-03-13;QH 96;23:45 - 00:00;102.26;0.0
2026-03-14;QH 1;00:00 - 00:15;112.41;0.0
2026-03-14;QH 2;00:15 - 00:30;109.69;0.0
2026-03-14;QH 3;00:30 - 00:45;108.35;0.0
2026-03-14;QH 4;00:45 - 01:00;105.83;0.0
2026-03-14;QH 5;01:00 - 01:15;106.25;0.0
2026-03-14;QH 6;01:15 - 01:30;104.17;0.0
2026-03-14;QH 7;01:30 - 01:45;103.37;0.0
2026-03-14;QH 8;01:45 - 02:00;102.17;0.0
2026-03-14;QH 9;02:00 - 02:15;99.34;0.0
2026-03-14;QH 10;02:15 - 02:30;101.81;0.0
2026-03-14;QH 11;02:30 - 02:45;102.81;0.0
2026-03-14;QH 12;02:45 - 03:00;103.49;0.0
2026-03-14;QH 13;03:00 - 03:15;103.21;0.0
2026-03-14;QH 14;03:15 - 03:30;103.2;0.0
2026-03-14;QH 15;03:30 - 03:45;106.31;0.0
2026-03-14;QH 16;03:45 - 04:00;107.74;0.0
2026-03-14;QH 17;04:00 - 04:15;104.51;0.0
2026-03-14;QH 18;04:15 - 04:30;107.38;0.0
2026-03-14;QH 19;04:30 - 04:45;110.38;0.0
2026-03-14;QH 20;04:45 - 05:00;114.0;0.0
2026-03-14;QH 21;05:00 - 05:15;106.27;0.0
2026-03-14;QH 22;05:15 - 05:30;111.38;0.0
2026-03-14;QH 23;05:30 - 05:45;113.51;0.0
2026-03-14;QH 24;05:45 - 06:00;114.92;0.0
2026-03-14;QH 25;06:00 - 06:15;119.69;0.0
2026-03-14;QH 26;06:15 - 06:30;115.9;0.0
2026-03-14;QH 27;06:30 - 06:45;115.74;0.0
2026-03-14;QH 28;06:45 - 07:00;115.5;0.0
2026-03-14;QH 29;07:00 - 07:15;122.0;0.0
2026-03-14;QH 30;07:15 - 07:30;121.94;0.0
2026-03-14;QH 31;07:30 - 07:45;121.99;0.0
2026-03-14;QH 32;07:45 - 08:00;121.59;0.0
2026-03-14;QH 33;08:00 - 08:15;120.05;0.0
2026-03-14;QH 34;08:15 - 08:30;120.02;0.0
2026-03-14;QH 35;08:30 - 08:45;116.49;0.0
2026-03-14;QH 36;08:45 - 09:00;108.0;0.0
2026-03-14;QH 37;09:00 - 09:15;112.26;0.0
2026-03-14;QH 38;09:15 - 09:30;108.7;0.0
2026-03-14;QH 39;09:30 - 09:45;105.86;0.0
2026-03-14;QH 40;09:45 - 10:00;103.27;0.0
2026-03-14;QH 41;10:00 - 10:15;103.75;0.0
2026-03-14;QH 42;10:15 - 10:30;101.62;0.0
2026-03-14;QH 43;10:30 - 10:45;103.7;0.0
2026-03-14;QH 44;10:45 - 11:00;105.03;0.0
2026-03-14;QH 45;11:00 - 11:15;104.56;0.0
2026-03-14;QH 46;11:15 - 11:30;104.07;0.0
